"date","close","volume","open","high","low"
"2017/09/12","159.9100","5779997.0000","159.0600","160.9300","158.7100"
"2017/09/11","158.3700","8844733.0000","158.4200","158.7400","156.2200"
"2017/09/08","159.6600","10066800.0000","159.0900","160.6900","157.5200"
"2017/09/07","157.9300","8258520.0000","158.1700","159.2800","156.7900"
"2017/09/06","156.5600","8114018.0000","154.8600","157.0300","154.1450"
"2017/09/05","152.9300","7503747.0000","151.7100","153.9200","151.7000"
"2017/09/01","150.7800","3382461.0000","150.2600","150.9400","149.7600"
"2017/08/31","149.8700","6082108.0000","150.6100","150.9250","149.8500"
"2017/08/30","150.0000","3637619.0000","150.0000","150.2500","149.2800"
"2017/08/29","149.8400","5360757.0000","150.0700","150.9000","149.0300"
"2017/08/28","151.3900","6836305.0000","151.9400","152.3900","150.4300"
"2017/08/25","149.6500","3026011.0000","148.5100","150.5300","148.4000"
"2017/08/24","148.2500","3735054.0000","149.7300","150.6000","147.9800"
"2017/08/23","149.1000","5203150.0000","148.5800","149.4800","147.4271"
"2017/08/22","149.9100","3267334.0000","149.2900","150.5800","149.2900"
"2017/08/21","149.2000","4210017.0000","147.1000","149.8800","146.8900"
"2017/08/18","147.4900","6845373.0000","149.6100","149.6100","146.9600"
"2017/08/17","149.6700","4368875.0000","151.8100","152.1500","149.6100"
"2017/08/16","152.2500","6040785.0000","151.4500","152.9500","151.1600"
"2017/08/15","150.1700","13508910.0000","154.2750","154.8000","148.2600"
"2017/08/14","154.2600","6642327.0000","156.0400","156.0500","153.5600"
"2017/08/11","154.8800","3645144.0000","154.1100","155.7200","153.9800"
"2017/08/10","153.8800","4423448.0000","155.1900","155.9800","153.8800"
"2017/08/09","155.2600","3842218.0000","153.3500","155.5700","153.3200"
"2017/08/08","153.3500","3196695.0000","153.3200","154.2000","153.0800"
"2017/08/07","153.3500","3832995.0000","152.8300","154.4700","152.4700"
"2017/08/04","152.7500","3256147.0000","151.0100","152.7500","150.8000"
"2017/08/03","150.7900","5146465.0000","150.7000","152.0300","150.5000"
"2017/08/02","150.5000","3753303.0000","149.9400","150.8600","149.9200"
"2017/08/01","149.8500","4097532.0000","150.2400","150.3900","148.9500"
